i,Annotation,Human association to T2D incidence,Nile rat non-fasted association to OGTT glucAUC,Nile rat fasted association to OGTT glucAUC,Elastic net fasted importance,Elastic net non-fasted importance,Elastic net fasted coefficient sign,Elastic net non-fasted coefficient sign,Nonfasted indiv linear model q-value,Nonfasted indiv linear model p-value,Fasted indiv linear model q-value,Fasted indiv linear model p-value,SRR,SRR 95% CI,SRR p-value,SRR q-value
l_852,TG 53:2,Increased,Positive,Not significant,1.20E-05,0,-,-,0.00283234,0.000868397,0.829452318,0.6640328,1.33,1.24; 1.44,0.001,0.001
l_854,TG 51:1,Increased,Positive,Not significant,8.54E-06,3.07E-05,-,+,0.001222971,0.00030379,0.895099654,0.806319879,1.54,1.36; 1.74,0.001,0.001
l_856,TG 18:2_18:1_19:0,Not in human SRR analysis,Positive,Not significant,0.001454926,0.000280666,-,+,0.001620096,0.000426583,0.881424155,0.772174456,,,,
l_860,TG 18:0_18:0_20:4,Not significant,Positive,Not significant,0.002613751,0,+,-,0.000387266,6.76E-05,0.424114763,0.204682781,1.13,0.95; 1.36,0.174,0.315
l_862,TG 58:4,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.001112757,0.000270884,0.957996155,0.92985778,,,,
l_865,TG 54:2,Increased,Positive,Not significant,0,0,-,-,0.000795516,0.000172766,0.49651613,0.267110877,1.42,1.15; 1.74,0.001,0.005
l_866,TG 56:3,Increased,Positive,Not significant,0,0,-,-,0.000755606,0.000154982,0.46672299,0.239637025,1.22,1.08; 1.39,0.002,0.008
l_871,TG 52:1,Increased,Positive,Not significant,0,0,-,-,0.00079982,0.000174269,0.849652833,0.703989454,1.78,1.35; 2.35,0.001,0.001
l_873,TG 16:0_16:0_18:0,Increased,Positive,Not significant,0,0.052254481,-,+,0.000256762,3.94E-05,0.490841857,0.261271393,1.51,1.30; 1.75,0.001,0.001
l_876,TG 18:1_18:1_19:0,Not in human SRR analysis,Positive,Not significant,0,0.009089864,-,+,0.008047108,0.002924144,0.69767561,0.467922961,,,,
l_878,TG 53:1,Not in human SRR analysis,Positive,Not significant,0,0.002009624,-,+,0.000779733,0.000167125,0.845980874,0.698279458,,,,
l_888,TG 18:2_18:1_24:1,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.000629024,0.00012143,0.727069535,0.509309887,,,,
l_890,TG 56:2,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.000770339,0.000162364,0.971265686,0.950957977,,,,
l_892,TG 54:1,Not significant,Positive,Not significant,0,9.79E-05,-,+,0.000296283,4.77E-05,0.721631573,0.499853583,1.28,1.03; 1.59,0.027,0.08
l_893,TG 18:2_18:1_22:0,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.000699865,0.000140072,0.854215037,0.711138565,,,,
l_895,TG 16:0_18:0_18:0,Not in human SRR analysis,Positive,Not significant,0,0.14911533,-,+,0.000137593,1.86E-05,0.369725286,0.156423695,,,,
l_900,TG 18:2_18:1_23:0,Not in human SRR analysis,Positive,Not significant,0.000451653,0,-,-,0.001301874,0.000332765,0.893761661,0.800516122,,,,
l_905,TG 57:2,Not in human SRR analysis,Positive,Not significant,0.000124561,0,-,-,0.012630793,0.004975224,0.883900066,0.778509568,,,,
l_907,TG 56:1,Not in human SRR analysis,Positive,Not significant,3.34E-05,0.003685576,-,+,0.000453535,8.24E-05,0.731731833,0.515691774,,,,
l_908,TG 18:2_18:1_24:0,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.000621867,0.000119607,0.895099654,0.807126013,,,,
l_910,TG 58:2,Not in human SRR analysis,Positive,Not significant,0.000369782,0.000287818,-,+,0.000368704,6.36E-05,0.926641754,0.868110089,,,,
l_912,TG 18:0_18:0_18:0,Not in human SRR analysis,Positive,Not significant,0,0.302021249,-,+,0.000203491,3.00E-05,0.895069237,0.803593034,,,,
m_2,Urocanic acid,Not in human SRR analysis,Not significant,Not significant,0,0.000490575,-,+,0.559487381,0.452672544,0.922295944,0.858745016,,,,
m_3,Uridine,Not significant,Not significant,Not significant,0,3.21E-05,-,+,0.525297621,0.412616905,0.220950111,0.067429771,0.97,0.75; 1.24,0.788,0.869
m_4,Uric acid,Not significant,Not significant,Not significant,0.297516701,0.263321491,-,-,0.558303388,0.451087105,0.112484229,0.023550637,1.19,0.99; 1.43,0.062,0.148
m_5,Tyrosine,Increased,Not significant,Not significant,0.018246276,0.47295749,-,-,0.18130273,0.110917639,0.245886525,0.081147788,1.35,1.22; 1.49,0.001,0.001
m_6,Tryptophan,Not significant,Not significant,Not significant,0.007547116,0.00738999,-,-,0.534369804,0.424385955,0.369725286,0.15705818,1.14,0.99; 1.30,0.065,0.153
m_7,Trigonelline,Not significant,Not significant,Negative,0.002544044,0,-,-,0.080623945,0.041885541,0.043909953,0.005235537,0.98,0.83; 1.16,0.803,0.882
m_8,Indole-3-acrylic acid,Not in human SRR analysis,Not significant,Not significant,0.031229167,0.001232197,-,-,0.490857427,0.379029724,0.335133881,0.134148693,,,,
m_9,Threonine,Not significant,Positive,Negative,0.03501761,0.000445736,-,+,0.042310784,0.019698988,0.043909953,0.005234434,1.01,0.96; 1.05,0.796,0.872
m_11,Threonic acid,Not significant,Not significant,Not significant,0,0,-,-,0.281381121,0.19071609,0.581470275,0.336749286,0.86,0.65; 1.15,0.312,0.458
m_13,Taurine,Not significant,Not significant,Not significant,0.000107317,0.00073455,-,-,0.130249793,0.074507689,0.792989184,0.602006162,0.96,0.83; 1.12,0.638,0.741
m_16,Stachydrine,Not in human SRR analysis,Negative,Not significant,0.005924545,0.004241331,-,-,0.028019907,0.0124091,0.132695499,0.031044542,,,,
m_17,Serine,Not significant,Not significant,Not significant,0.237129585,5.12E-05,-,+,0.533294813,0.422396744,0.237207408,0.076094924,0.92,0.83; 1.02,0.13,0.256
m_19,Ribose,Not in human SRR analysis,Not significant,Not significant,0.449152656,0,+,-,0.84820009,0.787399374,0.054808871,0.007507532,,,,
m_20,Quinic acid,Not in human SRR analysis,Not significant,Not significant,0.000620558,0,+,-,0.645690679,0.542581806,0.3536538,0.144071882,,,,
m_21,Pseudouridine,Not significant,Not significant,Not significant,0.008837448,0.000600991,+,+,0.630415922,0.52437719,0.749639399,0.537127182,0.89,0.66; 1.19,0.421,0.564
m_22,Proline,Not significant,Not significant,Not significant,0,0,-,-,0.985369154,0.976277742,0.333800514,0.13290425,1.65,0.84; 3.23,0.148,0.278
m_25,Pipecolic acid,Not in human SRR analysis,Negative,Negative,0.253968149,0.096684485,-,-,0.014073456,0.005713284,0.006264893,0.000257888,,,,
m_26,Phenylalanine,Increased,Not significant,Not significant,7.23E-06,7.02E-05,-,+,0.249814623,0.165774786,0.323871455,0.125958292,1.3,1.16; 1.45,0.001,0.001
m_27,Phenylacetylglycine,Not in human SRR analysis,Positive,Positive,0.663592743,0.078260411,+,+,0.005402817,0.0018559,3.37E-05,1.19E-07,,,,
m_31,Ornithine,Not significant,Not significant,Not significant,0.023631491,0,+,-,0.452212023,0.344695325,0.837676017,0.680547857,1.06,0.97; 1.17,0.212,0.358
m_32,Nicotinamide 1-oxide,Not in human SRR analysis,Not significant,Not significant,0.000474323,0.047166457,-,-,0.191039306,0.119043656,0.061054607,0.009915589,,,,
m_33,Nicotinamide,Not in human SRR analysis,Not significant,Not significant,0.088594184,0.000964997,-,-,0.060306058,0.029917626,0.159289039,0.040698406,,,,
m_34,"N6,N6,N6-Trimethyl-L-lysine",Increased,Not significant,Not significant,0.00443723,0.510717843,-,-,0.081951138,0.042806823,0.896157078,0.811767033,1.25,1.15; 1.35,0.001,0.001
m_35,"N3,N4-Dimethyl-L-arginine",Not significant,Not significant,Not significant,0.00057608,0.001407148,-,+,0.405581739,0.300804058,0.312015206,0.118694216,0.97,0.92; 1.02,0.206,0.353
m_37,N-Methyl-2-pyrrolidone,Not in human SRR analysis,Positive,Not significant,0.165155273,0.268110862,+,+,0.002005812,0.000552346,0.243040838,0.078445769,,,,
m_38,N-Isovalerylglycine,Not in human SRR analysis,Positive,Positive,0.306216714,0.230811061,+,+,0.002081997,0.000580883,0.013804584,0.000940554,,,,
m_40,N-Acetylornithine,Not in human SRR analysis,Not significant,Not significant,0.000968152,0,-,-,0.877744657,0.82603933,0.161306198,0.041442756,,,,
m_41,N-Acetylneuraminic acid,Not in human SRR analysis,Not significant,Not significant,0.003833749,3.66E-05,+,-,0.190418807,0.118521855,0.931953551,0.874432551,,,,
m_43,N-Acetyl-L-aspartic acid,Not in human SRR analysis,Not significant,Not significant,0.006268177,0.028413994,+,+,0.954424293,0.932748226,0.271644122,0.094995686,,,,
m_45,Methylhistidine,Not in human SRR analysis,Not significant,Not significant,0,0.081513907,-,-,0.137299936,0.08029464,0.149361163,0.036359744,,,,
m_46,Methylaminopyrimidine,Not in human SRR analysis,Not significant,Not significant,0.012108608,0.073898831,-,-,0.812570538,0.741636417,0.400774487,0.180334297,,,,
m_54,Leucine,Increased,Positive,Not significant,0.000126314,5.84E-05,-,+,0.000292329,4.66E-05,0.625957113,0.38378067,1.4,1.29; 1.52,0.001,0.001
m_56,Lactic Acid,Not significant,Not significant,Not significant,0,2.13E-05,-,-,0.907386061,0.865712688,0.667339752,0.430526497,1.16,1.01; 1.34,0.034,0.096
m_58,Isoleucine,Increased,Positive,Not significant,0.000557564,0.109374537,-,+,0.000546912,0.000101309,0.216059628,0.065475323,1.54,1.36; 1.74,0.001,0.001
m_60,Hydroxycinnamic acid,Not in human SRR analysis,Not significant,Not significant,0.000463994,0.244454948,-,-,0.396291572,0.292289782,0.293879112,0.109024219,,,,
m_61,Hydrocinnamic acid,Decreased,Not significant,Not significant,0,0,-,-,0.10681106,0.059053098,0.604653822,0.362620638,0.86,0.80; 0.93,0.001,0.001
m_64,Histidine,Not significant,Not significant,Not significant,0.002760248,0.000112436,-,-,0.989928251,0.983772934,0.254057082,0.085467038,0.95,0.90; 1.01,0.111,0.227
m_65,Hippuric acid,Not significant,Not significant,Not significant,0.11593392,0,+,-,0.217563142,0.139431879,0.059929624,0.009399891,0.97,0.89; 1.06,0.466,0.601
m_66,Iditol,Not in human SRR analysis,Positive,Positive,0.120209094,0.198806124,+,+,0.000126283,1.68E-05,0.025395604,0.002072743,,,,
m_72,Guanidinosuccinic acid,Not in human SRR analysis,Not significant,Not significant,0,0.000644944,-,+,0.238833883,0.15611498,0.376335097,0.163194283,,,,
m_75,Glyceric acid,Not in human SRR analysis,Not significant,Negative,0.614015444,0.066217185,-,-,0.149479832,0.08869066,0.027819337,0.002527236,,,,
m_76,Glutamine,Decreased,Not significant,Negative,0.006470463,5.88E-05,-,+,0.939726119,0.911975518,0.046904764,0.005825645,0.84,0.75; 0.94,0.002,0.011
m_77,Glutamic acid,Increased,Not significant,Not significant,0,0.025475868,-,-,0.130762356,0.074986504,0.904214093,0.831263081,1.38,1.20; 1.60,0.001,0.001
m_78,Glucose,Not significant,Positive,Not significant,0,0.441714643,-,+,9.71E-07,1.48E-08,0.901410888,0.825776776,2.53,1.09; 5.87,0.031,0.089
m_79,Gluconic acid,Not significant,Not significant,Negative,0.598604557,0.008745022,-,-,0.330008442,0.233980435,0.04715275,0.005889911,1.27,1.04; 1.56,0.02,0.064
m_80,Ethyl-beta-D-glucuronide,Not in human SRR analysis,Positive,Not significant,0.002288397,0.035360239,+,+,0.00088856,0.00019991,0.563099196,0.322513166,,,,
m_81,Ergothioneine,Not in human SRR analysis,Not significant,Not significant,0.011150287,0.09538152,-,-,0.413552424,0.307889633,0.255696525,0.086381509,,,,
m_84,Cytidine,Not in human SRR analysis,Not significant,Not significant,0.003485061,0,+,-,0.162803723,0.097879768,0.8405544,0.688718092,,,,
m_86,Creatinine,Not significant,Not significant,Not significant,0.021789718,0.003952474,-,-,0.128549113,0.073078665,0.073540049,0.013361428,0.98,0.89; 1.09,0.736,0.835
m_88,Creatine,Not in human SRR analysis,Not significant,Not significant,0.121416841,0.006270376,+,+,0.051519649,0.024717731,0.596364574,0.349625435,,,,
m_90,Citramalic acid,Not in human SRR analysis,Not significant,Not significant,0.001304693,0.125662181,+,+,0.074023488,0.038088736,0.922295944,0.85945676,,,,
m_93,Choline,Not in human SRR analysis,Not significant,Not significant,0,0.063770059,-,+,0.068272562,0.034693509,0.855690729,0.714796301,,,,
m_95,Carnitine,Not significant,Negative,Not significant,0,0.088541882,-,-,0.000292329,4.67E-05,0.768486154,0.565047307,1.04,0.96; 1.14,0.33,0.473
m_97,Betaine,Decreased,Negative,Negative,1,0.129458372,-,-,0.00039015,6.84E-05,2.49E-05,7.06E-08,0.82,0.76; 0.89,0.001,0.001
m_98,Beta-D-Glucopyranuronic acid,Not in human SRR analysis,Not significant,Not significant,0.001305294,0.125661188,+,+,0.074023488,0.038088736,0.922295944,0.85945676,,,,
m_99,Beta alanine,Not significant,Not significant,Not significant,2.35E-05,0.000139909,+,+,0.963672976,0.943838685,0.887340349,0.783493871,0.92,0.83; 1.01,0.089,0.192
m_103,Asparagine,Not significant,Not significant,Negative,0.001004957,0,-,-,0.784385441,0.703799422,0.012807662,0.00085445,1.03,0.82; 1.29,0.817,0.885
m_105,Arginine,Not significant,Not significant,Negative,0.445559734,0.177364303,-,-,0.75411982,0.664203475,0.038796843,0.004295463,1,0.91; 1.11,0.965,0.988
m_106,Anserine,Not in human SRR analysis,Not significant,Not significant,4.08E-07,0,+,-,0.217563142,0.139324191,0.916746816,0.848429984,,,,
m_107,Anhydrohexose,Not significant,Positive,Not significant,0,0.270259276,-,+,0.002164315,0.000615082,0.875099804,0.749528355,0.81,0.54; 1.21,0.311,0.458
m_109,alpha-Glycerylphosphorylcholine,Not significant,Positive,Not significant,0.011730266,0,+,-,0.033948745,0.015468484,0.790580128,0.596445858,0.85,0.71; 1.01,0.06,0.146
m_111,Alanine,Increased,Not significant,Not significant,0,0,-,-,0.930877287,0.897183361,0.773833801,0.575020575,1.32,1.20; 1.44,0.001,0.001
m_113,Adenosine 5'-monophosphate,Not in human SRR analysis,Not significant,Not significant,0.018696314,0.207692203,-,-,0.102268421,0.056178679,0.475517597,0.250077033,,,,
m_116,Acetyl-β-methylcholine,Not in human SRR analysis,Not significant,Not significant,0.003517657,0.031922261,-,-,0.300083238,0.208290566,0.190099214,0.052752869,,,,
m_120,8-Hydroxyquinoline,Not in human SRR analysis,Not significant,Not significant,0.002882981,0.023601189,+,+,0.654451751,0.55180176,0.3536538,0.143882695,,,,
m_122,"5,5-Dimethylhydantoin",Not in human SRR analysis,Not significant,Not significant,0.003634959,0.000442414,-,+,0.658828747,0.556670806,0.073042705,0.013167594,,,,
m_124,4-Oxoproline,Not in human SRR analysis,Not significant,Not significant,0.000537767,0.001212325,+,+,0.466350877,0.358451384,0.890138088,0.791182408,,,,
m_126,4-Hydroxybutyric acid (GHB),Not in human SRR analysis,Not significant,Not significant,3.97E-05,0.00026329,-,+,0.300277139,0.208638267,0.064334047,0.010958248,,,,
m_128,4-Guanidinobutyric acid,Not in human SRR analysis,Positive,Not significant,0.00092337,0.184803212,+,+,0.000744242,0.000151511,0.591017725,0.343956377,,,,
m_133,3-Methylhistidine,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.794606845,0.718473471,0.131713909,0.030552545,,,,
m_136,3-Hydroxybutyric acid,Increased,Not significant,Negative,0,0,-,-,0.24677283,0.163405997,0.025608365,0.002144632,1.36,1.18; 1.56,0.001,0.001
m_138,2-Naphthalenesulfonic acid,Not in human SRR analysis,Not significant,Not significant,0.187348981,0.000580878,-,+,0.089756916,0.047840627,0.055150206,0.007867418,,,,
m_139,2-Mercaptoethanol,Not in human SRR analysis,Positive,Not significant,0.004158057,0.329422577,+,+,0.008664971,0.003179411,0.41533901,0.194755489,,,,
m_144,"1,5-Anhydro-D-glucitol",Not in human SRR analysis,Negative,Negative,0.321884766,0.122944838,-,-,0.001093681,0.000263912,0.008072665,0.000418243,,,,
